Deep	group	abundance	SAR202
DCM	quadrant1	0.964504371	gsSAR202
DCM	quadrant1	0.898291419	gsSAR202
DCM	quadrant1	0.975800644	gsSAR202
DCM	quadrant1	0.962852619	gsSAR202
DCM	quadrant1	0.190163558	gsSAR202
DCM	quadrant1	0.967254622	gsSAR202
DCM	quadrant1	0.931930755	gsSAR202
DCM	quadrant1	0.930289123	gsSAR202
DCM	other	0.027369256	non-gsSAR202
DCM	other	0.1093455	non-gsSAR202
DCM	other	0.11804486	non-gsSAR202
DCM	other	0.0441436	non-gsSAR202
DCM	other	0.150167481	non-gsSAR202
DCM	other	0.217181819	non-gsSAR202
DCM	other	0.108758428	non-gsSAR202
DCM	other	0.026299984	non-gsSAR202
DCM	other	0.083215412	non-gsSAR202
DCM	other	0.064362849	non-gsSAR202
DCM	other	0.087973645	non-gsSAR202
DCM	other	0.079884672	non-gsSAR202
DCM	other	0.020447486	non-gsSAR202
DCM	other	0.035495629	non-gsSAR202
DCM	other	0.101708581	non-gsSAR202
DCM	other	0.024199356	non-gsSAR202
DCM	other	0.037147381	non-gsSAR202
DCM	other	0.809836442	non-gsSAR202
DCM	other	0.032745378	non-gsSAR202
DCM	other	0.068069245	non-gsSAR202
DCM	other	0.069710877	non-gsSAR202
MES	quadrant1	0.060100988	gsSAR202
MES	quadrant1	0.218892201	gsSAR202
MES	quadrant1	0.147926833	gsSAR202
MES	quadrant1	0.186214396	gsSAR202
MES	quadrant1	0.187335165	gsSAR202
MES	quadrant1	0.098342035	gsSAR202
MES	quadrant1	0.248587454	gsSAR202
MES	quadrant1	0.119074048	gsSAR202
MES	quadrant1	0.064118073	gsSAR202
MES	quadrant1	0.174948685	gsSAR202
MES	quadrant1	0.247290316	gsSAR202
MES	quadrant1	0.39474652	gsSAR202
MES	quadrant1	0.276698746	gsSAR202
MES	quadrant1	0.383774812	gsSAR202
MES	quadrant1	0.281232175	gsSAR202
MES	quadrant1	0.101951876	gsSAR202
MES	quadrant1	0.323901774	gsSAR202
MES	quadrant1	0.18984304	gsSAR202
MES	quadrant1	0.227467194	gsSAR202
MES	quadrant1	0.141506771	gsSAR202
MES	quadrant1	0.15980103	gsSAR202
MES	quadrant1	0.234048333	gsSAR202
MES	quadrant1	0.142432763	gsSAR202
MES	quadrant1	0.176878147	gsSAR202
MES	quadrant1	0.330742477	gsSAR202
MES	quadrant1	0.180989248	gsSAR202
MES	quadrant1	0.206190507	gsSAR202
MES	other	0.939899012	non-gsSAR202
MES	other	0.781107799	non-gsSAR202
MES	other	0.852073167	non-gsSAR202
MES	other	0.813785604	non-gsSAR202
MES	other	0.812664835	non-gsSAR202
MES	other	0.901657965	non-gsSAR202
MES	other	0.751412546	non-gsSAR202
MES	other	0.880925952	non-gsSAR202
MES	other	0.935881927	non-gsSAR202
MES	other	0.825051315	non-gsSAR202
MES	other	0.752709684	non-gsSAR202
MES	other	0.60525348	non-gsSAR202
MES	other	0.723301254	non-gsSAR202
MES	other	0.616225188	non-gsSAR202
MES	other	0.718767825	non-gsSAR202
MES	other	0.898048124	non-gsSAR202
MES	other	0.676098226	non-gsSAR202
MES	other	0.81015696	non-gsSAR202
MES	other	0.772532806	non-gsSAR202
MES	other	0.858493229	non-gsSAR202
MES	other	0.84019897	non-gsSAR202
MES	other	0.765951667	non-gsSAR202
MES	other	0.857567237	non-gsSAR202
MES	other	0.823121853	non-gsSAR202
MES	other	0.669257523	non-gsSAR202
MES	other	0.819010752	non-gsSAR202
MES	other	0.793809493	non-gsSAR202
Bathypelagic	quadrant1	0.066877817	gsSAR202
Bathypelagic	quadrant1	0.074434957	gsSAR202
Bathypelagic	quadrant1	0.06729405	gsSAR202
Bathypelagic	quadrant1	0.070996676	gsSAR202
Bathypelagic	quadrant1	0.07829306	gsSAR202
Bathypelagic	quadrant1	0.067249617	gsSAR202
Bathypelagic	quadrant1	0.064790357	gsSAR202
Bathypelagic	quadrant1	0.085482542	gsSAR202
Bathypelagic	quadrant1	0.076115048	gsSAR202
Bathypelagic	quadrant1	0.086210135	gsSAR202
Bathypelagic	quadrant1	0.070680816	gsSAR202
Bathypelagic	quadrant1	0.036987335	gsSAR202
Bathypelagic	quadrant1	0.063895153	gsSAR202
Bathypelagic	quadrant1	0.208003578	gsSAR202
Bathypelagic	quadrant1	0.078332633	gsSAR202
Bathypelagic	quadrant1	0.076085494	gsSAR202
Bathypelagic	quadrant1	0.088420221	gsSAR202
Bathypelagic	quadrant1	0.069377752	gsSAR202
Bathypelagic	quadrant1	0.062419123	gsSAR202
Bathypelagic	quadrant1	0.050842157	gsSAR202
Bathypelagic	quadrant1	0.077179742	gsSAR202
Bathypelagic	quadrant1	0.075835048	gsSAR202
Bathypelagic	quadrant1	0.064567133	gsSAR202
Bathypelagic	quadrant1	0.106683805	gsSAR202
Bathypelagic	quadrant1	0.061037802	gsSAR202
Bathypelagic	quadrant1	0.062052345	gsSAR202
Bathypelagic	quadrant1	0.021603589	gsSAR202
Bathypelagic	quadrant1	0.024143171	gsSAR202
Bathypelagic	other	0.933122183	non-gsSAR202
Bathypelagic	other	0.925565043	non-gsSAR202
Bathypelagic	other	0.93270595	non-gsSAR202
Bathypelagic	other	0.929003324	non-gsSAR202
Bathypelagic	other	0.92170694	non-gsSAR202
Bathypelagic	other	0.932750383	non-gsSAR202
Bathypelagic	other	0.935209643	non-gsSAR202
Bathypelagic	other	0.914517458	non-gsSAR202
Bathypelagic	other	0.923884952	non-gsSAR202
Bathypelagic	other	0.913789865	non-gsSAR202
Bathypelagic	other	0.929319184	non-gsSAR202
Bathypelagic	other	0.963012665	non-gsSAR202
Bathypelagic	other	0.936104847	non-gsSAR202
Bathypelagic	other	0.791996422	non-gsSAR202
Bathypelagic	other	0.921667367	non-gsSAR202
Bathypelagic	other	0.923914506	non-gsSAR202
Bathypelagic	other	0.911579779	non-gsSAR202
Bathypelagic	other	0.930622248	non-gsSAR202
Bathypelagic	other	0.937580877	non-gsSAR202
Bathypelagic	other	0.949157843	non-gsSAR202
Bathypelagic	other	0.922820258	non-gsSAR202
Bathypelagic	other	0.924164952	non-gsSAR202
Bathypelagic	other	0.935432867	non-gsSAR202
Bathypelagic	other	0.893316195	non-gsSAR202
Bathypelagic	other	0.938962198	non-gsSAR202
Bathypelagic	other	0.937947655	non-gsSAR202
Bathypelagic	other	0.978396411	non-gsSAR202
Bathypelagic	other	0.975856829	non-gsSAR202
